"Rule ID","Rule","Reaction order","EC number"
"4.1.1.g","([H:13][#8]-[#6](=O)[C:7]([*,#1:10])([*,#1:14])[#6:6](\[*,#1:8])=[#6:3](/[*,#1:5])-[#6:1](-[#16,#8,#6,#1:4])=[O:2])>>([H:13][C:7]([*,#1:10])([*,#1:14])[#6:6](\[*,#1:8])=[#6:3](/[*,#1:5])-[#6:1](-[#16,#8,#6,#1:4])=[O:2])",1,"4.1.1.-"
"4.1.1.h","([H:1][#8]-[#6](=O)[C:5]([*,#1:6])([*,#1:7])[#6:8](\[*,#1:9])=[#6:10](/[*,#1:11])[C:12]([#7,#6,#1:13])([#7,#6,#1:14])[#7:15]([H:16])[H:17])>>([H:17][#7:15]([H:16])[C:12]([*:14])([*:13])[#6:10](\[*:11])=[#6:8](/[*:9])[C:5]([H:1])([*:6])[*:7])",1,"4.1.1.-"
"4.1.1.i","([H][#8]-[#6](=O)-[#6:1](-[#8,#16,#6:4])=[O:2])>>([#16]-[#6:1](-[*:4])=[O:2])",1,"4.1.1.-"
"4.1.2.a","([H][#8:5][C:4]([*,#1:6])([*,#1:7])[#6:2](-[#1,#6:3])=[O:1])>>([H][#6:2](-[*:3])=[O:1].[*:6]-[#6:4](-[*:7])=[O:5])",1,"4.1.2.-"
"4.1.2.b","([H][#8:7][C:6]([*,#1:4])([*,#1:5])[C:9]([*,#1:10])([*,#1:11])[#6:3](-[#1,#6,#16:2])=[O:1])>>([H][C:9]([*:10])([*:11])[#6:3](-[*:2])=[O:1].[#8:7]-[#6:6](-[*:5])-[*:4])",1,"4.1.2.-"
"4.1.2.c","([H][#8:1][C:2]([*,#1:3])([*,#1:8])[C:4]([*,#1:6])([*,#1:7])[#7:5]([H:9])[H:10])>>([*,#1:3]-[#6:2](-[*,#1:8])=[O:1].[H:10][#7:5]([H:9])[C:4]([H])([*,#1:6])[*,#1:7])",1,"4.1.2.-"
"4.2.-1.b","([#16:3]-[#6:2](=[O:1])-[#6:4](\[*,#1:10])=[#6:6](/[*,#1:7])-[*,#1:8])>>([H][#8][C:4]([*,#1:10])([#6:2](-[#16:3])=[O:1])[C:6]([H])([*,#1:7])[*,#1:8])",1,"4.2.-1.-"
"4.2.1.a","([H:10][C:4]([*,#1:5])([#6:2](-[#16,#1,#6,#8:3])=[O:1])[C:6]([*,#1:7])([*,#1:9])[#8:8]-[*,#1:11])>>([*:3]-[#6:2](=[O:1])-[#6:4](\[*:5])=[#6:6](\[*:7])-[*:9].[H:10][#8:8]-[*:11])",1,"4.2.1.-"
"4.2.1.b","([H][#8][C:4]([*,#1:10])([#6:2](-[#16:3])=[O:1])[C:6]([H])([*,#1:7])[*,#1:8])>>([#16:3]-[#6:2](=[O:1])-[#6:4](\[*,#1:10])=[#6:6](/[*,#1:7])-[*,#1:8])",1,"4.2.1.-"
"4.2.1.c","([H:17][#8:3]-[#6:2](=[O:1])[C:4]([H:15])([#7:5]([H:19])[H:20])[C:6]([*,#1:8])([*,#1:14])[#6]-1=[#6]([H])-[#6]([H])=[#6](-[#8][H])-[#6]([H])=[#6]-1[H])>>([H:17][#8:3]-[#6:2](=[O:1])[C:4]([H:15])([#7:5]([H:19])[H:20])[C:6]([*,#1:14])([*,#1:8])[#8][H])",1,"4.2.1.-"
"4.2.1.d","([H:14][#8:3]-[#6:2](=[O:1])[C:4]([H:11])([#7:5]([H:12])[H:13])[C:6]([*,#1:7])([*,#1:10])[#8:8]-[*,#1:9])>>([H][#8:8]-[*,#1:9].[H:14][#8:3]-[#6:2](=[O:1])[C:4]([H:11])([#7:5]([H:12])[H:13])[C:6]([*,#1:10])([*,#1:7])[#6]-1=[#6]([H])-[#6]-2=[#6]([H])-[#6]([H])=[#6]([H])-[#6]([H])=[#6]-2-[#7]-1[H])",1,"4.2.1.-"
"4.2.1.d1","([H:14][#8:3]-[#6:2](=[O:1])[C:4]([H:11])([#7:5]([H:12])[H:13])[C:6]([*,#1:7])([*,#1:10])[#16:8]-[*,#1:9])>>([H][#16:8]-[*:9].[H:14][#8:3]-[#6:2](=[O:1])[C:4]([H:11])([#7:5]([H:12])[H:13])[C:6]([*:10])([*:7])[#6]-1=[#6]([H])-[#6]-2=[#6]([H])-[#6]([H])=[#6]([H])-[#6]([H])=[#6]-2-[#7]-1[H])",1,"4.2.1.-"
"4.2.1.e","([H][#8:1][C:8]([H])([#1,$(C([H])([H])[H]):9])[C:4]([H:5])([#8][H])[C:3]([H:12])([H:13])[#1,$(O[H]):2])>>([H:13][C:3]([H:12])([*:2])[C:4]([H:5])([H])[#6:8](-[*:9])=[O:1])",1,"4.2.1.-"
"4.2.1.f","([*,#1:1][C:2]#[N:3])>>([H][#7:3]([H])-[#6:2](-[*,#1:1])=O)",1,"4.2.1.-"
"4.2.2.a","([*,#1:6]-[#8:1][C:2]([*,#1:7])([*,#1:8])[#8:3][C:4]([*,#1:5])([*,#1:9])[*,#1:10])>>([H][#8:3][C:2]([*,#1:8])([*,#1:7])[#8:1]-[*,#1:6].[H][#8][C:4]([*,#1:5])([*,#1:10])[*,#1:9])",1,"4.2.2.-"
"4.2.3.a","([H:14][#7:3]([H:15])[C:2]([H:16])([#1,#6:1])[C:4]([*,#1:5])([*,#1:7])[#8:6][P:8](=[O:11])([#8:10]-[*,#1:12])[#8:9]-[*,#1:13])>>([H:14][#7:3]([H:15])-[#6:2](-[*:1])=[#6:4](-[*:7])-[*:5].[H:16][#8:6][P:8](=[O:11])([#8:10]-[*:12])[#8:9]-[*:13])",1,"4.2.3.-"
"4.2.3.b","([H:1][C:2]([*,#1:3])([#6:4](-[*,#1:5])=[O:6])[C:7]([*,#1:8])([*,#1:9])[#8:10][P:11](=[O:12])([#8:13]-[*,#1:14])[#8:15]-[*,#1:16])>>([*,#1:8]\[#6:7](-[*,#1:9])=[#6:2](/[*,#1:3])-[#6:4](-[*,#1:5])=[O:6].[H:1][#8:10][P:11](=[O:12])([#8:15]-[*,#1:16])[#8:13]-[*,#1:14])",1,"4.2.3.-"
"4.2.3.c","([H:17][C:3]([*,#1:16])([*,#1:18])[#6:1](\[*,#1:4])=[#6:2](\[*,#1:5])[C:6]([*,#1:7])([*,#1:9])[#8:8][P:10](=[O:13])([#8:11]-[*,#1:14])[#8:12]-[*,#1:15])>>([*,#1:4]-[#6:1](-[*,#1:7])=[#6:2](-[*,#1:5])-[#6:6](-[*,#1:9])=[#6:3](-[*,#1:16])-[*,#1:18].[H:17][#8:8][P:10](=[O:13])([#8:12]-[*,#1:15])[#8:11]-[*,#1:14])",1,"4.2.3.-"
"4.3.1.a","([H:11][C:4]([*,#1:5])([#6:2](-[*,#1:3])=[O:1])[C:6]([*,#1:7])([*,#1:12])[#7:8](-[*,#1:9])-[*,#1:10])>>([*,#1:7]-[#6:6](-[*,#1:12])=[#6:4](-[*,#1:5])-[#6:2](-[*,#1:3])=[O:1].[H:11][#7:8](-[*,#1:9])-[*,#1:10])",1,"4.3.1.-"
"4.3.1.b","([H:14][C:7]([*,#1:10])([#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1])[C:9]([*,#1:11])([*,#1:13])[#7:12](-[*,#1:15])-[*,#1:16])>>([H:14][#7:12](-[*,#1:15])-[*,#1:16].[*,#1:11]\[#6:9](-[*,#1:13])=[#6:7](/[*,#1:10])\[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])-[#6:2](-[*,#1:3])=[O:1])",1,"4.3.1.-"
"4.3.1.c","([H:14][C:7]([*,#1:13])([#6:5]-1=[#6:4]-[#6:3]=[#6:2]-[#6:1]=[#6:6]-1)[C:8]([*,#1:9])([*,#1:15])[#7:10](-[*,#1:11])-[*,#1:12])>>([*,#1:9]-[#6:8](-[*,#1:15])=[#6:7](-[*,#1:13])-[#6:5]-1=[#6:6]-[#6:1]=[#6:2]-[#6:3]=[#6:4]-1.[H:14][#7:10](-[*,#1:11])-[*,#1:12])",1,"4.3.1.-"
"4.3.1.c1","([H:14][C:7]([*:5])([*,#1:13])[C:8]([*,#1:9])([*,#1:15])[#7:10](-[*,#1:11])-[*,#1:12])>>([H:14][#7:10](-[*,#1:11])-[*,#1:12].[*:5]\[#6:7](-[*,#1:13])=[#6:8](\[*,#1:9])-[*,#1:15])",1,"4.3.1.-"
"4.3.1.d","([H][#8:6][C:4]([H:5])([*,#1:7])[C:2]([H])([#1,#6:3])[#7]([H])[H])>>([H:5][#6:4](-[*,#1:7])-[#6:2](-[#1,#6:3])=[O:6])",1,"4.3.1.-"
